pc,count
288,4
284,4
275,4
321,4
436,4
527,4
439,4
487,4
486,4
299,4
294,4
345,4
382,4
503,4
392,4
390,4
357,4
500,4
459,4
277,4
506,4
369,4
430,4
521,4
525,4
443,4
396,4
418,4
548,4
417,4
287,4
497,4
446,4
433,4
305,4
281,4
315,4
365,4
341,4
546,4
374,4
476,4
322,4
400,4
456,4
520,4
405,4
359,4
454,4
428,4
406,4
376,4
339,4
512,4
411,4
466,4
387,4
515,4
346,4
471,4
401,4
319,4
397,4
395,4
317,4
492,4
496,4
355,4
419,4
295,4
350,4
478,4
498,4
363,4
429,4
278,4
533,4
334,4
309,4
508,4
441,4
538,4
530,4
331,4
367,4
544,4
435,4
314,4
513,4
415,4
523,4
324,4
402,4
298,4
505,4
306,4
457,4
474,4
473,4
516,4
404,4
501,4
302,4
307,4
504,4
310,4
509,4
403,4
537,4
338,4
343,4
542,4
491,4
292,4
394,4
510,4
311,4
352,4
379,4
282,4
481,4
528,4
329,4
327,4
526,4
424,4
399,4
425,4
470,4
304,4
385,4
469,4
325,4
524,4
422,4
342,4
541,4
483,4
313,4
507,4
308,4
366,4
460,4
320,4
519,4
420,4
323,4
522,4
370,4
547,4
348,4
409,4
312,4
511,4
453,4
358,4
354,4
451,4
349,4
543,4
344,4
462,4
291,4
490,4
485,4
286,4
398,4
495,4
296,4
301,4
539,4
340,4
442,4
332,4
531,4
437,4
468,4
427,4
393,4
384,4
484,4
285,4
290,4
489,4
535,4
336,4
488,4
289,4
375,4
472,4
461,4
364,4
475,4
276,4
335,4
534,4
529,4
330,4
518,4
368,4
465,4
423,4
549,4
444,4
438,4
445,4
455,4
389,4
440,4
356,4
283,4
482,4
536,4
337,4
499,4
300,4
532,4
333,4
353,4
494,4
412,4
316,4
383,4
413,4
347,4
414,4
279,4
431,4
447,4
351,4
480,4
303,4
502,4
391,4
297,4
452,4
377,4
434,4
361,4
380,4
545,4
493,4
293,4
407,4
408,4
328,4
371,4
458,4
449,4
426,4
540,4
464,4
517,4
318,4
448,4
467,4
360,4
386,4
326,4
372,4
280,4
479,4
362,4
514,4
373,4
432,4
416,4
463,4
421,4
388,4
378,4
477,4
450,4
410,4
381,4
