pc,count
13,4
9,4
0,4
46,4
161,4
252,4
164,4
212,4
211,4
24,4
19,4
70,4
107,4
228,4
117,4
115,4
82,4
225,4
184,4
2,4
231,4
94,4
155,4
246,4
250,4
168,4
121,4
143,4
273,4
142,4
12,4
222,4
171,4
158,4
30,4
6,4
40,4
90,4
66,4
271,4
99,4
201,4
47,4
125,4
181,4
245,4
130,4
84,4
179,4
153,4
131,4
101,4
64,4
237,4
136,4
191,4
112,4
240,4
71,4
196,4
126,4
44,4
122,4
120,4
42,4
217,4
221,4
80,4
144,4
20,4
75,4
203,4
223,4
88,4
154,4
3,4
258,4
59,4
34,4
233,4
166,4
263,4
255,4
56,4
92,4
269,4
160,4
39,4
238,4
140,4
248,4
49,4
127,4
23,4
230,4
31,4
182,4
199,4
198,4
241,4
129,4
226,4
27,4
32,4
229,4
35,4
234,4
128,4
262,4
63,4
68,4
267,4
216,4
17,4
119,4
235,4
36,4
77,4
104,4
7,4
206,4
253,4
54,4
52,4
251,4
149,4
124,4
150,4
195,4
29,4
110,4
194,4
50,4
249,4
147,4
67,4
266,4
208,4
38,4
232,4
33,4
91,4
185,4
45,4
244,4
145,4
48,4
247,4
95,4
272,4
73,4
134,4
37,4
236,4
178,4
83,4
79,4
176,4
74,4
268,4
69,4
187,4
16,4
215,4
210,4
11,4
123,4
220,4
21,4
26,4
264,4
65,4
167,4
57,4
256,4
162,4
193,4
152,4
118,4
109,4
209,4
10,4
15,4
214,4
260,4
61,4
213,4
14,4
100,4
197,4
186,4
89,4
200,4
1,4
60,4
259,4
254,4
55,4
243,4
93,4
190,4
148,4
274,4
169,4
163,4
170,4
180,4
114,4
165,4
81,4
8,4
207,4
261,4
62,4
224,4
25,4
257,4
58,4
78,4
219,4
137,4
41,4
108,4
138,4
72,4
139,4
4,4
156,4
172,4
76,4
205,4
28,4
227,4
116,4
22,4
177,4
102,4
159,4
86,4
105,4
270,4
218,4
18,4
132,4
133,4
53,4
96,4
183,4
174,4
151,4
265,4
189,4
242,4
43,4
173,4
192,4
85,4
111,4
51,4
97,4
5,4
204,4
87,4
239,4
98,4
157,4
141,4
188,4
146,4
113,4
103,4
202,4
175,4
135,4
106,4
