pc,count
451,2
455,2
475,2
311,2
459,2
527,2
294,2
333,2
473,2
522,2
506,2
305,2
433,2
316,2
318,2
288,2
505,2
472,2
291,2
285,2
427,2
377,2
545,2
313,2
460,2
467,2
322,2
541,2
449,2
516,2
346,2
381,2
397,2
376,2
366,2
329,2
412,2
450,2
414,2
401,2
343,2
457,2
356,2
359,2
371,2
452,2
509,2
345,2
523,2
307,2
432,2
339,2
350,2
511,2
340,2
480,2
483,2
385,2
338,2
310,2
444,2
317,2
378,2
512,2
530,2
533,2
546,2
367,2
289,2
446,2
295,2
435,2
441,2
380,2
406,2
314,2
437,2
364,2
428,2
493,2
299,2
498,2
515,2
370,2
387,2
301,2
500,2
398,2
537,2
402,2
363,2
463,2
383,2
471,2
419,2
442,2
466,2
369,2
283,2
482,2
390,2
293,2
492,2
358,2
335,2
534,2
529,2
330,2
520,2
321,2
510,2
430,2
388,2
347,2
300,2
499,2
478,2
279,2
373,2
276,2
281,2
447,2
528,2
458,2
344,2
543,2
393,2
405,2
479,2
280,2
382,2
526,2
327,2
332,2
531,2
429,2
368,2
465,2
518,2
319,2
324,2
360,2
304,2
503,2
501,2
302,2
404,2
445,2
348,2
547,2
395,2
320,2
519,2
514,2
315,2
417,2
323,2
507,2
308,2
486,2
287,2
292,2
491,2
384,2
453,2
403,2
497,2
298,2
434,2
489,2
290,2
392,2
448,2
354,2
524,2
325,2
504,2
443,2
540,2
341,2
399,2
496,2
297,2
549,2
355,2
336,2
535,2
416,2
391,2
488,2
394,2
352,2
372,2
477,2
278,2
462,2
331,2
536,2
337,2
396,2
476,2
277,2
407,2
361,2
309,2
508,2
548,2
349,2
415,2
351,2
303,2
502,2
469,2
296,2
495,2
538,2
375,2
425,2
439,2
470,2
426,2
353,2
424,2
386,2
438,2
456,2
484,2
474,2
275,2
312,2
365,2
422,2
532,2
389,2
326,2
525,2
342,2
454,2
468,2
485,2
286,2
306,2
284,2
461,2
544,2
400,2
410,2
521,2
436,2
539,2
487,2
374,2
357,2
334,2
282,2
481,2
411,2
513,2
494,2
542,2
440,2
421,2
328,2
413,2
408,2
420,2
517,2
490,2
431,2
409,2
379,2
418,2
423,2
464,2
362,2
